company_number,name,incorporation_date,status,sic_codes,age_years,num_accounts_last_10y,num_late_accounts,last_accounts_date,overdue_accounts_flag,num_charges_total,num_charges_outstanding,num_charges_satisfied,has_floating_charge_flag,last_charge_date,signal_potential_distress,signal_boring_profitable_like,distress_score_v1,boring_profitable_score_v1
SC413867,S BIRNIE TRAINING AND DEVELOPMENT LTD,2012-01-04,active,70229,13.89,10,0,2023-10-09,True,0,0,0,False,,True,False,1,3
09418604,LIZBAN CONSULTING LTD.,2015-02-03,active,70229,10.81,8,0,2025-06-13,True,0,0,0,False,,True,False,1,3
SC587963,ANSPRO LTD,2018-02-07,active,70229,7.8,6,0,2024-11-28,False,0,0,0,False,,False,False,0,1
SC585860,SGI SOLUTIONS LIMITED,2018-01-16,active,70229,7.86,6,0,2025-01-06,True,0,0,0,False,,True,False,1,1
SC262456,CELEBRE LIMITED,2004-01-26,active,70229,21.83,8,0,2023-12-19,True,2,2,0,False,2006-10-26,True,False,1,3
13836714,HC DEBT MANAGEMENT LTD,2022-01-10,active,70229,3.88,2,0,2025-09-23,True,0,0,0,False,,True,False,1,1
02954712,CRYSTAL DESIGN SERVICES LIMITED,1994-08-02,active,62020;63990;70229;85590,31.32,10,0,2025-03-19,False,0,0,0,False,,False,True,0,3
06670576,FLYING-SPIRITS LTD,2008-08-12,active,70229,17.29,5,0,2021-04-23,True,0,0,0,False,,True,False,1,2
12401270,TOP KEK LTD,2020-01-14,active,70229,5.87,3,0,2023-10-31,True,0,0,0,False,,True,False,1,1
NI645731,IKOLO LIMITED,2017-05-12,active,73110,8.54,6,0,2023-01-31,True,0,0,0,False,,True,False,1,1
12490286,A J DUNLOP CONSULTING LIMITED,2020-02-28,active,70229,5.74,5,0,2025-10-24,False,0,0,0,False,,False,False,0,1
07725608,LANDWISE RURAL RESOURCE MANAGEMENT LIMITED,2011-08-02,active,70229,14.32,10,0,2025-04-03,False,0,0,0,False,,False,True,0,3
11826595,ESSEX ADVERTISING SERVICES LTD,2019-02-14,active,73110,6.78,1,0,2021-02-13,True,0,0,0,False,,True,False,1,1
14100097,SYSTEMS4FOOD LTD,2022-05-11,active,70229,3.55,3,0,2025-07-14,False,0,0,0,False,,False,False,0,1
11917623,HCI GROUP OF COMPANIES LTD,2019-04-01,active,64209;70229,6.66,3,0,2023-08-21,True,0,0,0,False,,True,False,1,1
